id,latitude,longitude,property_type,room_type,bedrooms,bathrooms,price,number_of_reviews,availability_365
33,40.402,-3.702,Apartment,Shared room,1,1,110,32,180
34,40.403,-3.7030000000000003,House,Entire home/apt,2,2,115,33,270
35,40.403999999999996,-3.704,Condominium,Private room,3,1,120,34,360
36,40.405,-3.705,Loft,Shared room,4,2,125,35,0
37,40.406,-3.706,Apartment,Entire home/apt,1,1,130,36,90
38,40.407,-3.7070000000000003,House,Private room,2,2,135,37,180
39,40.408,-3.708,Condominium,Shared room,3,1,140,38,270
40,40.409,-3.709,Loft,Entire home/apt,4,2,145,39,360
41,40.4,-3.7,Apartment,Private room,1,1,50,40,0
42,40.400999999999996,-3.701,House,Shared room,2,2,55,41,90
43,40.402,-3.702,Condominium,Entire home/apt,3,1,60,42,180
44,40.403,-3.7030000000000003,Loft,Private room,4,2,65,43,270
45,40.403999999999996,-3.704,Apartment,Shared room,1,1,70,44,360
46,40.405,-3.705,House,Entire home/apt,2,2,75,45,0
47,40.406,-3.706,Condominium,Private room,3,1,80,46,90
48,40.407,-3.7070000000000003,Loft,Shared room,4,2,85,47,180
49,40.408,-3.708,Apartment,Entire home/apt,1,1,90,48,270
50,40.409,-3.709,House,Private room,2,2,95,49,360
51,40.4,-3.7,Condominium,Shared room,3,1,100,50,0
52,40.400999999999996,-3.701,Loft,Entire home/apt,4,2,105,51,90
53,40.402,-3.702,Apartment,Private room,1,1,110,52,180
54,40.403,-3.7030000000000003,House,Shared room,2,2,115,53,270
55,40.403999999999996,-3.704,Condominium,Entire home/apt,3,1,120,54,360
56,40.405,-3.705,Loft,Private room,4,2,125,55,0
57,40.406,-3.706,Apartment,Shared room,1,1,130,56,90
58,40.407,-3.7070000000000003,House,Entire home/apt,2,2,135,57,180
59,40.408,-3.708,Condominium,Private room,3,1,140,58,270
60,40.409,-3.709,Loft,Shared room,4,2,145,59,360
61,40.4,-3.7,Apartment,Entire home/apt,1,1,50,60,0
62,40.400999999999996,-3.701,House,Private room,2,2,55,61,90
63,40.402,-3.702,Condominium,Shared room,3,1,60,62,180
64,40.403,-3.7030000000000003,Loft,Entire home/apt,4,2,65,63,270
65,40.403999999999996,-3.704,Apartment,Private room,1,1,70,64,360
66,40.405,-3.705,House,Shared room,2,2,75,65,0
67,40.406,-3.706,Condominium,Entire home/apt,3,1,80,66,90
68,40.407,-3.7070000000000003,Loft,Private room,4,2,85,67,180
69,40.408,-3.708,Apartment,Shared room,1,1,90,68,270
70,40.409,-3.709,House,Entire home/apt,2,2,95,69,360
71,40.4,-3.7,Condominium,Private room,3,1,100,70,0
72,40.400999999999996,-3.701,Loft,Shared room,4,2,105,71,90
73,40.402,-3.702,Apartment,Entire home/apt,1,1,110,72,180
74,40.403,-3.7030000000000003,House,Private room,2,2,115,73,270
75,40.403999999999996,-3.704,Condominium,Shared room,3,1,120,74,360
76,40.405,-3.705,Loft,Entire home/apt,4,2,125,75,0
77,40.406,-3.706,Apartment,Private room,1,1,130,76,90
78,40.407,-3.7070000000000003,House,Shared room,2,2,135,77,180
79,40.408,-3.708,Condominium,Entire home/apt,3,1,140,78,270
80,40.409,-3.709,Loft,Private room,4,2,145,79,360
81,40.4,-3.7,Apartment,Shared room,1,1,50,80,0
82,40.400999999999996,-3.701,House,Entire home/apt,2,2,55,81,90
83,40.402,-3.702,Condominium,Private room,3,1,60,82,180
84,40.403,-3.7030000000000003,Loft,Shared room,4,2,65,83,270
85,40.403999999999996,-3.704,Apartment,Entire home/apt,1,1,70,84,360
86,40.405,-3.705,House,Private room,2,2,75,85,0
87,40.406,-3.706,Condominium,Shared room,3,1,80,86,90
88,40.407,-3.7070000000000003,Loft,Entire home/apt,4,2,85,87,180
89,40.408,-3.708,Apartment,Private room,1,1,90,88,270
90,40.409,-3.709,House,Shared room,2,2,95,89,360
91,40.4,-3.7,Condominium,Entire home/apt,3,1,100,90,0
92,40.400999999999996,-3.701,Loft,Private room,4,2,105,91,90
93,40.402,-3.702,Apartment,Shared room,1,1,110,92,180
94,40.403,-3.7030000000000003,House,Entire home/apt,2,2,115,93,270
95,40.403999999999996,-3.704,Condominium,Private room,3,1,120,94,360
96,40.405,-3.705,Loft,Shared room,4,2,125,95,0
97,40.406,-3.706,Apartment,Entire home/apt,1,1,130,96,90
98,40.407,-3.7070000000000003,House,Private room,2,2,135,97,180
99,40.408,-3.708,Condominium,Shared room,3,1,140,98,270
100,40.409,-3.709,Loft,Entire home/apt,4,2,145,99,360
101,40.4,-3.7,Apartment,Private room,1,1,50,100,0
102,40.400999999999996,-3.701,House,Shared room,2,2,55,101,90
103,40.402,-3.702,Condominium,Entire home/apt,3,1,60,102,180
104,40.403,-3.7030000000000003,Loft,Private room,4,2,65,103,270
105,40.403999999999996,-3.704,Apartment,Shared room,1,1,70,104,360
106,40.405,-3.705,House,Entire home/apt,2,2,75,105,0
107,40.406,-3.706,Condominium,Private room,3,1,80,106,90
108,40.407,-3.7070000000000003,Loft,Shared room,4,2,85,107,180
109,40.408,-3.708,Apartment,Entire home/apt,1,1,90,108,270
110,40.409,-3.709,House,Private room,2,2,95,109,360
111,40.4,-3.7,Condominium,Shared room,3,1,100,110,0
112,40.400999999999996,-3.701,Loft,Entire home/apt,4,2,105,111,90
113,40.402,-3.702,Apartment,Private room,1,1,110,112,180
114,40.403,-3.7030000000000003,House,Shared room,2,2,115,113,270
115,40.403999999999996,-3.704,Condominium,Entire home/apt,3,1,120,114,360
116,40.405,-3.705,Loft,Private room,4,2,125,115,0
117,40.406,-3.706,Apartment,Shared room,1,1,130,116,90
118,40.407,-3.7070000000000003,House,Entire home/apt,2,2,135,117,180
119,40.408,-3.708,Condominium,Private room,3,1,140,118,270
120,40.409,-3.709,Loft,Shared room,4,2,145,119,360
121,40.4,-3.7,Apartment,Entire home/apt,1,1,50,120,0
122,40.400999999999996,-3.701,House,Private room,2,2,55,121,90
123,40.402,-3.702,Condominium,Shared room,3,1,60,122,180
124,40.403,-3.7030000000000003,Loft,Entire home/apt,4,2,65,123,270
125,40.403999999999996,-3.704,Apartment,Private room,1,1,70,124,360
126,40.405,-3.705,House,Shared room,2,2,75,125,0
127,40.406,-3.706,Condominium,Entire home/apt,3,1,80,126,90
128,40.407,-3.7070000000000003,Loft,Private room,4,2,85,127,180
129,40.408,-3.708,Apartment,Shared room,1,1,90,128,270
130,40.409,-3.709,House,Entire home/apt,2,2,95,129,360
131,40.4,-3.7,Condominium,Private room,3,1,100,130,0
132,40.400999999999996,-3.701,Loft,Shared room,4,2,105,131,90
133,40.402,-3.702,Apartment,Entire home/apt,1,1,110,132,180
134,40.403,-3.7030000000000003,House,Private room,2,2,115,133,270
135,40.403999999999996,-3.704,Condominium,Shared room,3,1,120,134,360
136,40.405,-3.705,Loft,Entire home/apt,4,2,125,135,0
137,40.406,-3.706,Apartment,Private room,1,1,130,136,90
138,40.407,-3.7070000000000003,House,Shared room,2,2,135,137,180
139,40.408,-3.708,Condominium,Entire home/apt,3,1,140,138,270
140,40.409,-3.709,Loft,Private room,4,2,145,139,360
141,40.4,-3.7,Apartment,Shared room,1,1,50,140,0
142,40.400999999999996,-3.701,House,Entire home/apt,2,2,55,141,90
143,40.402,-3.702,Condominium,Private room,3,1,60,142,180
144,40.403,-3.7030000000000003,Loft,Shared room,4,2,65,143,270
145,40.403999999999996,-3.704,Apartment,Entire home/apt,1,1,70,144,360
146,40.405,-3.705,House,Private room,2,2,75,145,0
147,40.406,-3.706,Condominium,Shared room,3,1,80,146,90
148,40.407,-3.7070000000000003,Loft,Entire home/apt,4,2,85,147,180
149,40.408,-3.708,Apartment,Private room,1,1,90,148,270
150,40.409,-3.709,House,Shared room,2,2,95,149,360
151,40.4,-3.7,Condominium,Entire home/apt,3,1,100,0,0
152,40.400999999999996,-3.701,Loft,Private room,4,2,105,1,90
153,40.402,-3.702,Apartment,Shared room,1,1,110,2,180
154,40.403,-3.7030000000000003,House,Entire home/apt,2,2,115,3,270
155,40.403999999999996,-3.704,Condominium,Private room,3,1,120,4,360
156,40.405,-3.705,Loft,Shared room,4,2,125,5,0
157,40.406,-3.706,Apartment,Entire home/apt,1,1,130,6,90
158,40.407,-3.7070000000000003,House,Private room,2,2,135,7,180
159,40.408,-3.708,Condominium,Shared room,3,1,140,8,270
160,40.409,-3.709,Loft,Entire home/apt,4,2,145,9,360
161,40.4,-3.7,Apartment,Private room,1,1,50,10,0
162,40.400999999999996,-3.701,House,Shared room,2,2,55,11,90
163,40.402,-3.702,Condominium,Entire home/apt,3,1,60,12,180
164,40.403,-3.7030000000000003,Loft,Private room,4,2,65,13,270
165,40.403999999999996,-3.704,Apartment,Shared room,1,1,70,14,360
166,40.405,-3.705,House,Entire home/apt,2,2,75,15,0
167,40.406,-3.706,Condominium,Private room,3,1,80,16,90
168,40.407,-3.7070000000000003,Loft,Shared room,4,2,85,17,180
169,40.408,-3.708,Apartment,Entire home/apt,1,1,90,18,270
170,40.409,-3.709,House,Private room,2,2,95,19,360
171,40.4,-3.7,Condominium,Shared room,3,1,100,20,0
172,40.400999999999996,-3.701,Loft,Entire home/apt,4,2,105,21,90
173,40.402,-3.702,Apartment,Private room,1,1,110,22,180
174,40.403,-3.7030000000000003,House,Shared room,2,2,115,23,270
175,40.403999999999996,-3.704,Condominium,Entire home/apt,3,1,120,24,360
176,40.405,-3.705,Loft,Private room,4,2,125,25,0
177,40.406,-3.706,Apartment,Shared room,1,1,130,26,90
178,40.407,-3.7070000000000003,House,Entire home/apt,2,2,135,27,180
179,40.408,-3.708,Condominium,Private room,3,1,140,28,270
180,40.409,-3.709,Loft,Shared room,4,2,145,29,360
181,40.4,-3.7,Apartment,Entire home/apt,1,1,50,30,0
182,40.400999999999996,-3.701,House,Private room,2,2,55,31,90
183,40.402,-3.702,Condominium,Shared room,3,1,60,32,180
184,40.403,-3.7030000000000003,Loft,Entire home/apt,4,2,65,33,270
185,40.403999999999996,-3.704,Apartment,Private room,1,1,70,34,360
186,40.405,-3.705,House,Shared room,2,2,75,35,0
187,40.406,-3.706,Condominium,Entire home/apt,3,1,80,36,90
188,40.407,-3.7070000000000003,Loft,Private room,4,2,85,37,180
189,40.408,-3.708,Apartment,Shared room,1,1,90,38,270
190,40.409,-3.709,House,Entire home/apt,2,2,95,39,360
191,40.4,-3.7,Condominium,Private room,3,1,100,40,0
192,40.400999999999996,-3.701,Loft,Shared room,4,2,105,41,90
193,40.402,-3.702,Apartment,Entire home/apt,1,1,110,42,180
194,40.403,-3.7030000000000003,House,Private room,2,2,115,43,270
195,40.403999999999996,-3.704,Condominium,Shared room,3,1,120,44,360
196,40.405,-3.705,Loft,Entire home/apt,4,2,125,45,0
197,40.406,-3.706,Apartment,Private room,1,1,130,46,90
198,40.407,-3.7070000000000003,House,Shared room,2,2,135,47,180
199,40.408,-3.708,Condominium,Entire home/apt,3,1,140,48,270
200,40.409,-3.709,Loft,Private room,4,2,145,49,360
