id,marca,modelo,edad,kilometraje_km,combustible,transmision,potencia_cv,consumo_l_100km,num_duenos,estado,region,puertas,color,carroceria,precio_eur
41,Hyundai,i20,4,58380,Híbrido,Manual,111,6.0,2,Bueno,Valencia,5,Gris,Berlina,6310
42,Nissan,Juke,17,272064,Diésel,Manual,81,6.4,3,Bueno,La Rioja,5,Gris,SUV,2504
43,Ford,Focus,7,107247,Diésel,Manual,94,6.3,1,Bueno,Navarra,5,Blanco,Berlina,3473
44,Mercedes,Clase C,14,205285,Gasolina,Manual,151,7.5,5,Bueno,Extremadura,5,Rojo,SUV,4066
45,Skoda,Karoq,15,230978,Diésel,Manual,145,6.5,6,Bueno,Castilla-La Mancha,5,Negro,Monovolumen,2434
46,Toyota,Yaris,20,296736,Gasolina,Automático,136,7.2,4,Bueno,Valencia,5,Plata,Monovolumen,2319
47,Toyota,C-HR,8,122593,Diésel,Manual,76,6.6,2,Aceptable,Andalucía,5,Negro,Compacto,4874
48,Opel,Mokka,4,69639,Diésel,Manual,60,7.1,1,Bueno,Extremadura,5,Rojo,Compacto,6114
49,Nissan,Micra,1,9406,Híbrido,Automático,129,3.8,2,Bueno,Extremadura,5,Plata,Familiar,14942
50,Skoda,Octavia,12,183303,Diésel,Automático,115,5.8,2,Bueno,Canarias,5,Negro,SUV,3257
51,Audi,Q3,18,274472,Diésel,Manual,151,7.4,5,Bueno,Valencia,3,Negro,SUV,1716
52,Kia,Rio,16,223703,Diésel,Manual,169,6.3,2,Bueno,Extremadura,5,Negro,Familiar,1500
53,Hyundai,i30,2,32581,Híbrido,Manual,109,5.9,2,Bueno,Madrid,5,Gris,Monovolumen,11905
54,Kia,Sportage,3,42254,Diésel,Manual,141,6.6,1,Aceptable,Baleares,5,Azul,Monovolumen,8647
55,Skoda,Fabia,8,123789,Gasolina,Manual,131,9.0,5,Bueno,Extremadura,5,Rojo,Familiar,3444
56,SEAT,Ateca,2,29112,Diésel,Manual,154,5.3,1,Excelente,Extremadura,3,Gris,Familiar,13940
57,Kia,Sportage,14,193008,Diésel,Manual,116,5.9,6,Bueno,Murcia,5,Blanco,Familiar,2772
58,Skoda,Fabia,3,34438,Gasolina,Automático,155,8.1,1,Bueno,Cataluña,5,Negro,Berlina,6292
59,Toyota,Yaris,1,5000,Gasolina,Manual,113,7.1,1,Bueno,Castilla y León,5,Gris,Compacto,13049
60,Dacia,Sandero,1,15041,Diésel,Automático,81,6.1,1,Bueno,Aragón,5,Blanco,Compacto,9767
61,SEAT,Arona,2,30962,Diésel,Automático,142,7.1,1,Aceptable,Castilla y León,3,Plata,Familiar,7221
62,BMW,Serie 1,11,167658,Híbrido,Manual,61,6.7,5,Bueno,Cataluña,5,Azul,Compacto,4297
63,Dacia,Sandero,4,65163,Diésel,Manual,164,5.7,1,Bueno,Andalucía,5,Gris,Familiar,5163
64,Citroen,C5 Aircross,16,226153,Gasolina,Automático,166,7.9,6,Bueno,Baleares,5,Plata,SUV,1815
65,Audi,A4,13,194882,Híbrido,Manual,149,5.3,4,Excelente,Extremadura,5,Plata,Familiar,3542
66,Kia,Sportage,20,302932,Diésel,Manual,106,6.1,4,Excelente,País Vasco,5,Rojo,Familiar,1500
67,Audi,A1,4,53476,Híbrido,Manual,116,4.4,1,Bueno,Castilla-La Mancha,5,Plata,Familiar,8205
68,Skoda,Octavia,20,299184,Gasolina,Manual,111,7.6,3,Bueno,Asturias,5,Rojo,Berlina,2964
69,Dacia,Duster,3,51810,Gasolina,Automático,114,6.6,1,Bueno,Castilla-La Mancha,3,Negro,SUV,6781
70,Nissan,Qashqai,3,42799,Eléctrico,Manual,60,4.3,2,Excelente,Baleares,5,Rojo,Berlina,14355
71,Mercedes,Clase A,14,216811,Gasolina,Manual,105,7.2,2,Excelente,Galicia,5,Blanco,SUV,4978
72,Mercedes,GLA,16,227148,Diésel,Automático,85,5.9,1,Aceptable,Navarra,5,Azul,Compacto,1500
73,Nissan,Qashqai,19,276509,Gasolina,Automático,63,6.6,5,Bueno,Cantabria,5,Rojo,Compacto,1514
74,Volkswagen,Polo,16,258994,Híbrido,Automático,105,5.1,2,Aceptable,Andalucía,5,Azul,Compacto,3733
75,BMW,X1,8,127409,Diésel,Manual,177,5.4,1,Aceptable,Navarra,5,Blanco,Monovolumen,5618
76,Peugeot,208,14,204794,Gasolina,Manual,97,6.7,2,Excelente,Valencia,3,Azul,Berlina,1500
77,Citroen,C5 Aircross,1,5000,Diésel,Manual,147,6.8,2,Bueno,Extremadura,3,Negro,SUV,12755
78,Audi,A3,7,109007,Gasolina,Manual,85,7.3,3,Aceptable,Galicia,3,Negro,Berlina,8090
79,Mercedes,GLA,2,23893,Híbrido,Manual,84,4.2,1,Bueno,Cantabria,5,Rojo,Familiar,21546
80,Skoda,Octavia,18,257805,Diésel,Automático,149,5.6,2,Bueno,Madrid,3,Plata,SUV,2239
81,SEAT,Arona,2,23116,Gasolina,Automático,120,8.0,1,Bueno,Extremadura,5,Negro,Familiar,9624
82,Hyundai,Tucson,5,83850,Eléctrico,Manual,149,4.9,1,Bueno,Andalucía,5,Gris,Familiar,11162
83,Hyundai,Tucson,5,76357,Gasolina,Automático,132,7.6,1,Excelente,Valencia,5,Gris,Monovolumen,9466
84,Peugeot,308,4,55243,Híbrido,Manual,144,5.2,3,Bueno,Cataluña,3,Gris,Monovolumen,6645
85,Skoda,Karoq,6,87838,Diésel,Manual,153,6.3,2,Excelente,Navarra,5,Plata,Monovolumen,7795
86,Skoda,Fabia,20,300147,Eléctrico,Manual,151,5.8,5,Bueno,Navarra,5,Rojo,Berlina,1500
87,Hyundai,i20,13,183171,Eléctrico,Automático,158,5.8,4,Aceptable,Galicia,5,Plata,Familiar,1618
88,Mercedes,GLA,12,171268,Gasolina,Manual,109,8.4,3,Excelente,Galicia,5,Rojo,Familiar,5596
89,Ford,Focus,12,190295,Diésel,Automático,118,6.2,5,Aceptable,Canarias,5,Blanco,SUV,1842
90,Mercedes,GLA,11,156532,Híbrido,Manual,117,5.6,3,Aceptable,Extremadura,5,Gris,Familiar,6176
91,Nissan,Juke,3,46444,Gasolina,Automático,176,7.0,5,Aceptable,Castilla-La Mancha,5,Negro,Berlina,6990
92,Hyundai,i20,10,152001,Diésel,Automático,101,5.4,4,Bueno,Galicia,5,Blanco,Familiar,4579
93,Ford,Kuga,2,30445,Gasolina,Manual,157,5.8,1,Excelente,Extremadura,3,Negro,Familiar,12025
94,Hyundai,Tucson,16,248567,Gasolina,Automático,115,7.9,5,Bueno,Cantabria,5,Gris,SUV,1500
95,Kia,Sportage,5,65996,Híbrido,Manual,76,5.5,2,Excelente,Navarra,5,Plata,Compacto,7549
96,Renault,Megane,17,269791,Diésel,Automático,108,6.3,4,Bueno,Navarra,5,Blanco,Compacto,1500
97,Nissan,Qashqai,11,158739,Gasolina,Manual,126,7.1,1,Bueno,Aragón,3,Blanco,Berlina,3644
98,Kia,Rio,13,215559,Diésel,Manual,82,7.6,3,Bueno,País Vasco,5,Plata,Berlina,1500
99,SEAT,Ateca,11,167318,Diésel,Manual,123,6.4,3,Aceptable,Navarra,5,Azul,Familiar,3533
100,Audi,Q3,11,168882,Gasolina,Manual,110,7.1,1,Excelente,Cantabria,5,Rojo,Familiar,3981
101,Mercedes,GLA,11,165789,Gasolina,Automático,126,7.6,1,Bueno,Cataluña,5,Plata,Familiar,3985
102,Skoda,Octavia,13,201510,Diésel,Manual,86,6.7,3,Bueno,Galicia,5,Plata,Berlina,2701
103,Volkswagen,Tiguan,6,76641,Gasolina,Manual,154,6.2,2,Excelente,Navarra,5,Azul,Berlina,7590
104,Opel,Corsa,16,229756,Diésel,Automático,173,4.8,5,Bueno,País Vasco,5,Gris,SUV,3620
105,Skoda,Octavia,10,150913,Híbrido,Manual,83,5.2,3,Excelente,Castilla-La Mancha,5,Plata,Compacto,3712
106,Kia,Rio,9,136366,Gasolina,Manual,125,7.2,1,Bueno,Extremadura,5,Plata,SUV,3203
107,Audi,Q3,9,136566,Gasolina,Manual,60,7.5,3,Bueno,La Rioja,5,Negro,Compacto,1983
108,Renault,Captur,6,92048,Híbrido,Manual,154,6.8,2,Excelente,Cataluña,5,Gris,Familiar,6908
109,Skoda,Fabia,17,258068,Gasolina,Manual,70,6.9,3,Bueno,Murcia,5,Plata,Familiar,1679
110,Ford,Fiesta,17,265730,Híbrido,Manual,107,6.0,5,Excelente,Asturias,5,Azul,SUV,1500
111,BMW,Serie 3,17,259860,Eléctrico,Manual,92,5.5,3,Excelente,País Vasco,3,Blanco,SUV,4223
112,Citroen,C3,14,211438,Diésel,Manual,71,8.1,5,Excelente,La Rioja,5,Negro,Compacto,1575
113,Toyota,Yaris,3,30897,Gasolina,Manual,138,6.1,4,Bueno,Galicia,5,Rojo,Berlina,6817
114,SEAT,Arona,16,246671,Eléctrico,Manual,121,5.4,3,Excelente,Madrid,3,Gris,Berlina,1500
115,BMW,X1,10,153436,Gasolina,Manual,115,7.4,1,Bueno,Canarias,3,Blanco,Berlina,3751
116,Skoda,Octavia,9,126351,Diésel,Manual,156,6.5,4,Excelente,Cataluña,5,Plata,Monovolumen,4175
117,Mercedes,Clase C,20,288758,Gasolina,Manual,142,6.4,3,Bueno,Andalucía,5,Azul,Familiar,4371
118,Renault,Clio,10,144795,Diésel,Manual,156,7.2,2,Bueno,La Rioja,5,Rojo,SUV,2672
119,Mercedes,Clase C,4,60658,Diésel,Manual,106,6.1,5,Aceptable,Castilla y León,5,Negro,Compacto,12604
120,Hyundai,i30,6,102636,Gasolina,Automático,116,6.9,1,Bueno,País Vasco,5,Negro,SUV,4945
121,Skoda,Fabia,18,261966,Híbrido,Manual,60,5.5,5,Bueno,Asturias,5,Rojo,Compacto,1777
122,Volkswagen,Tiguan,17,262874,Gasolina,Automático,124,7.2,5,Aceptable,Cataluña,5,Rojo,Familiar,3211
123,Mercedes,Clase C,17,257313,Diésel,Manual,191,6.0,3,Excelente,Andalucía,5,Rojo,Familiar,3049
124,Dacia,Sandero,12,191364,Diésel,Automático,115,5.8,2,Aceptable,Madrid,5,Plata,Monovolumen,2053
125,Audi,A1,15,243859,Gasolina,Automático,153,6.5,2,Bueno,Aragón,5,Rojo,SUV,2788
126,Kia,Ceed,16,242286,Diésel,Automático,88,7.0,2,Bueno,Castilla y León,5,Azul,Compacto,4178
127,Nissan,Qashqai,9,142072,Gasolina,Manual,106,6.5,2,Bueno,Cataluña,3,Rojo,Monovolumen,3607
128,Volkswagen,Golf,12,179868,Gasolina,Manual,159,9.2,4,Bueno,País Vasco,5,Rojo,Monovolumen,2119
129,Peugeot,308,7,106920,Gasolina,Manual,137,7.9,6,Bueno,Navarra,3,Azul,Monovolumen,4383
130,Volkswagen,Golf,14,208663,Gasolina,Manual,113,8.2,4,Bueno,Navarra,5,Blanco,Berlina,1654
131,Skoda,Karoq,7,111542,Gasolina,Manual,72,7.2,2,Bueno,Asturias,3,Plata,Berlina,5554
132,Volkswagen,Passat,20,297537,Diésel,Manual,135,6.7,6,Bueno,Cantabria,5,Azul,SUV,4258
133,Mercedes,Clase A,8,118509,Gasolina,Manual,119,6.9,3,Bueno,Asturias,3,Blanco,Monovolumen,5081
134,BMW,Serie 3,2,32936,Gasolina,Manual,116,7.1,2,Bueno,Castilla-La Mancha,5,Negro,SUV,18786
135,Renault,Captur,17,243415,Diésel,Manual,75,6.9,2,Bueno,Galicia,5,Negro,SUV,1500
136,Audi,A3,15,233974,Diésel,Automático,112,6.3,4,Excelente,Baleares,5,Rojo,Compacto,2659
137,Citroen,C5 Aircross,2,29635,Diésel,Automático,136,6.3,1,Aceptable,La Rioja,3,Blanco,SUV,9330
138,Skoda,Octavia,11,165593,Diésel,Manual,124,7.3,4,Bueno,Navarra,5,Blanco,SUV,2625
139,Volkswagen,Tiguan,11,169558,Gasolina,Automático,91,7.7,1,Bueno,Canarias,5,Rojo,Compacto,5599
140,Volkswagen,Passat,2,31572,Diésel,Manual,147,6.4,1,Bueno,Cataluña,5,Gris,Familiar,16520
141,Renault,Captur,15,227999,Gasolina,Automático,111,6.1,2,Bueno,Aragón,5,Gris,Familiar,1571
142,Kia,Sportage,10,156725,Diésel,Manual,113,6.1,1,Excelente,Andalucía,5,Azul,SUV,1988
143,Mercedes,Clase C,1,13615,Híbrido,Manual,112,7.5,1,Bueno,Asturias,5,Plata,Monovolumen,27438
144,Kia,Ceed,1,21286,Diésel,Manual,140,5.7,1,Bueno,La Rioja,5,Plata,Monovolumen,10775
145,Renault,Captur,7,124216,Diésel,Manual,129,6.9,1,Excelente,Castilla y León,5,Azul,SUV,6264
146,Toyota,Yaris,16,241667,Gasolina,Manual,60,7.0,1,Bueno,Canarias,3,Gris,Compacto,1500
147,Ford,Kuga,8,111987,Gasolina,Manual,122,8.6,2,Bueno,Aragón,5,Blanco,Monovolumen,4085
148,Hyundai,i30,13,197204,Eléctrico,Manual,110,6.9,5,Excelente,Castilla-La Mancha,5,Azul,Familiar,3422
149,Toyota,Corolla,2,30916,Eléctrico,Manual,153,5.3,2,Bueno,Canarias,5,Negro,SUV,16552
150,Toyota,C-HR,16,234788,Híbrido,Manual,117,5.2,5,Aceptable,Andalucía,5,Rojo,Familiar,3208
151,Peugeot,308,18,283820,Diésel,Manual,140,6.5,2,Excelente,Murcia,3,Negro,Monovolumen,1702
152,Citroen,C4,20,308728,Gasolina,Manual,127,7.9,4,Excelente,Valencia,5,Blanco,SUV,2599
153,Nissan,Qashqai,10,151795,Diésel,Manual,156,7.8,4,Aceptable,Baleares,5,Negro,SUV,2931
154,Skoda,Octavia,1,21403,Gasolina,Manual,134,7.6,2,Excelente,Galicia,5,Plata,SUV,15073
155,Hyundai,i20,11,168952,Gasolina,Manual,116,6.8,4,Bueno,Extremadura,3,Azul,Berlina,1500
156,SEAT,León,16,238746,Gasolina,Manual,156,5.4,4,Excelente,Murcia,3,Plata,SUV,2653
157,Renault,Captur,9,124642,Gasolina,Manual,159,6.8,3,Bueno,Canarias,5,Azul,Monovolumen,3230
158,Skoda,Fabia,8,120614,Eléctrico,Manual,60,6.3,2,Bueno,Valencia,5,Plata,Compacto,2914
159,Peugeot,3008,10,143292,Gasolina,Manual,143,7.9,5,Bueno,Aragón,5,Plata,SUV,5410
160,Citroen,C5 Aircross,5,72384,Diésel,Automático,66,6.5,1,Bueno,Extremadura,3,Negro,Compacto,4188
161,Volkswagen,Polo,19,283952,Gasolina,Manual,104,7.0,2,Aceptable,Baleares,5,Plata,Familiar,1796
162,Toyota,Corolla,9,142330,Híbrido,Manual,138,6.3,2,Bueno,Asturias,5,Azul,SUV,1500
163,Citroen,C4,10,142492,Eléctrico,Manual,146,5.7,2,Bueno,Canarias,5,Blanco,Familiar,2352
164,Hyundai,i20,7,111960,Diésel,Automático,142,6.6,4,Bueno,Andalucía,3,Plata,Monovolumen,3463
165,Mercedes,Clase C,6,91580,Diésel,Manual,141,5.6,3,Bueno,Cataluña,5,Gris,Familiar,10208
166,Hyundai,i30,19,293041,Gasolina,Manual,123,7.5,6,Bueno,Aragón,5,Negro,SUV,3359
167,Citroen,C3,16,238799,Gasolina,Automático,133,7.1,4,Bueno,Cataluña,5,Plata,SUV,1649
168,Citroen,C4,9,122578,Gasolina,Manual,102,6.2,1,Bueno,Cantabria,5,Gris,Berlina,2356
169,BMW,Serie 1,20,313136,Diésel,Manual,155,5.9,4,Aceptable,Andalucía,5,Gris,Familiar,4360
170,Citroen,C3,1,5746,Gasolina,Automático,91,8.4,2,Excelente,Galicia,5,Azul,Familiar,9311
171,Opel,Mokka,6,94758,Eléctrico,Automático,151,6.1,2,Bueno,Valencia,5,Gris,SUV,6583
172,Mercedes,Clase A,15,223488,Diésel,Manual,93,6.5,2,Aceptable,Galicia,5,Azul,Compacto,1500
173,SEAT,Arona,3,46439,Diésel,Manual,164,7.2,1,Excelente,Valencia,3,Azul,Monovolumen,5053
174,Skoda,Karoq,7,97140,Diésel,Automático,74,6.9,1,Excelente,La Rioja,5,Azul,Compacto,4964
175,Citroen,C5 Aircross,4,55189,Gasolina,Automático,137,5.9,4,Bueno,Aragón,5,Negro,Monovolumen,6326
176,Hyundai,Tucson,19,288775,Híbrido,Manual,133,6.5,4,Excelente,La Rioja,5,Negro,SUV,3141
177,Dacia,Duster,18,260049,Gasolina,Manual,112,6.6,4,Bueno,Navarra,5,Blanco,Monovolumen,2145
178,Opel,Mokka,2,47781,Gasolina,Manual,99,7.6,1,Bueno,Cataluña,5,Blanco,Monovolumen,6938
179,Renault,Clio,2,39796,Gasolina,Manual,170,6.0,1,Bueno,Madrid,5,Plata,Monovolumen,6965
180,Mercedes,GLA,11,167515,Diésel,Automático,129,6.8,5,Bueno,Valencia,5,Negro,Familiar,4059
181,Citroen,C4,5,77421,Diésel,Manual,96,5.2,1,Bueno,La Rioja,5,Gris,Berlina,5578
182,Kia,Ceed,9,130346,Diésel,Manual,84,6.0,1,Bueno,País Vasco,5,Negro,Berlina,1549
183,Peugeot,208,11,158927,Híbrido,Automático,130,5.0,4,Excelente,Aragón,5,Rojo,Familiar,3618
184,Nissan,Qashqai,15,234821,Diésel,Manual,99,7.8,1,Aceptable,Baleares,3,Azul,Familiar,2672
185,Citroen,C3,14,214466,Diésel,Manual,131,6.9,2,Bueno,Baleares,5,Blanco,SUV,1500
186,Peugeot,308,16,252667,Híbrido,Automático,122,6.6,4,Bueno,Cantabria,3,Rojo,Familiar,1500
187,Toyota,Corolla,3,54704,Gasolina,Manual,133,9.1,1,Bueno,País Vasco,5,Rojo,Familiar,8621
188,Peugeot,208,17,250780,Gasolina,Automático,139,7.6,2,Bueno,Asturias,5,Negro,SUV,2284
189,Kia,Rio,19,278712,Gasolina,Manual,96,5.7,6,Bueno,Canarias,5,Rojo,SUV,1958
190,Ford,Fiesta,1,11491,Gasolina,Manual,159,7.7,1,Bueno,Navarra,5,Rojo,Monovolumen,12150
191,Skoda,Karoq,2,28600,Gasolina,Automático,111,7.6,2,Bueno,Andalucía,5,Rojo,SUV,13995
192,Mercedes,GLA,20,298198,Diésel,Manual,134,8.5,4,Bueno,Cataluña,5,Negro,Monovolumen,1919
193,Kia,Ceed,13,190123,Gasolina,Automático,75,7.2,4,Excelente,Extremadura,5,Negro,Compacto,3177
194,Hyundai,Tucson,14,212266,Gasolina,Automático,110,7.6,2,Aceptable,Cataluña,5,Rojo,Familiar,1500
195,Toyota,C-HR,10,148292,Eléctrico,Manual,167,5.6,2,Bueno,Aragón,5,Rojo,Familiar,4433
196,Nissan,Juke,9,132062,Diésel,Automático,112,6.7,1,Bueno,Castilla y León,5,Gris,SUV,2681
197,Mercedes,Clase A,11,166284,Diésel,Automático,130,6.8,3,Bueno,Asturias,5,Plata,Familiar,5281
198,Audi,A4,17,244064,Diésel,Manual,124,5.6,3,Bueno,Galicia,5,Gris,Familiar,1500
199,Renault,Megane,6,85387,Diésel,Automático,60,6.1,1,Excelente,País Vasco,5,Plata,Berlina,5968
200,Audi,A3,17,254877,Diésel,Manual,124,6.6,3,Excelente,Canarias,5,Negro,Berlina,2322
201,Volkswagen,Golf,7,101453,Gasolina,Manual,87,7.1,2,Excelente,Aragón,5,Azul,Berlina,7850
202,Skoda,Karoq,14,212279,Diésel,Manual,135,7.4,3,Bueno,Valencia,5,Negro,SUV,1640
203,Volkswagen,Polo,7,104293,Híbrido,Manual,103,6.6,3,Aceptable,Cantabria,5,Negro,Compacto,5439
204,Mercedes,Clase A,20,290469,Gasolina,Manual,131,7.3,2,Bueno,Canarias,5,Negro,SUV,4311
205,Citroen,C4,14,207077,Híbrido,Manual,134,4.4,3,Bueno,Aragón,3,Gris,Familiar,1500
206,Mercedes,GLA,14,219485,Gasolina,Automático,147,8.0,3,Bueno,Canarias,5,Azul,Familiar,3313
207,Peugeot,208,16,250625,Diésel,Automático,93,6.9,3,Bueno,Castilla-La Mancha,5,Gris,Compacto,4006
208,Nissan,Micra,2,30456,Diésel,Manual,136,7.7,2,Bueno,Cataluña,5,Azul,SUV,8964
209,Mercedes,Clase A,8,124454,Diésel,Automático,124,6.0,4,Bueno,Navarra,5,Negro,SUV,4152
210,BMW,Serie 1,5,73229,Gasolina,Automático,123,7.4,4,Bueno,Baleares,5,Plata,Monovolumen,8641
211,Toyota,Yaris,1,21700,Híbrido,Manual,109,6.5,3,Bueno,Asturias,3,Rojo,Familiar,12754
212,Peugeot,208,3,47610,Híbrido,Manual,130,5.4,2,Excelente,La Rioja,5,Azul,Monovolumen,6564
213,Peugeot,3008,14,219906,Diésel,Manual,130,6.7,4,Bueno,Cataluña,5,Rojo,Monovolumen,4357
214,Hyundai,i30,2,32629,Gasolina,Manual,152,6.7,1,Bueno,Cantabria,5,Blanco,SUV,11167
215,Toyota,C-HR,18,276627,Gasolina,Manual,60,8.2,4,Bueno,Cataluña,5,Blanco,Compacto,1682
216,Skoda,Fabia,11,174573,Gasolina,Automático,114,7.1,1,Bueno,Cantabria,5,Azul,Familiar,2355
217,Kia,Ceed,3,38720,Gasolina,Automático,96,7.1,1,Excelente,Cantabria,5,Plata,Compacto,8821
218,BMW,Serie 1,20,305779,Eléctrico,Manual,120,6.9,5,Bueno,Cantabria,5,Negro,Monovolumen,1665
219,Citroen,C4,16,227794,Gasolina,Automático,111,6.8,2,Excelente,Murcia,5,Blanco,Compacto,4964
220,BMW,Serie 1,18,284890,Gasolina,Manual,177,8.5,4,Bueno,Cataluña,5,Blanco,Monovolumen,3214
221,Kia,Sportage,13,193638,Diésel,Automático,68,7.1,3,Excelente,Navarra,5,Plata,Compacto,4271
222,Nissan,Juke,1,9265,Diésel,Automático,63,6.4,4,Bueno,Galicia,5,Rojo,Berlina,12968
223,BMW,Serie 3,11,179894,Gasolina,Manual,103,6.9,4,Aceptable,Aragón,5,Azul,Monovolumen,4679
224,Skoda,Fabia,9,131089,Híbrido,Manual,102,5.6,2,Bueno,Murcia,5,Gris,Monovolumen,1500
225,Kia,Ceed,3,53263,Diésel,Automático,125,6.2,2,Aceptable,Galicia,5,Blanco,SUV,7503
226,Hyundai,i30,3,44779,Diésel,Manual,174,7.8,1,Excelente,Valencia,5,Gris,SUV,7905
227,Renault,Captur,14,202012,Gasolina,Manual,137,7.8,2,Bueno,Valencia,3,Rojo,Monovolumen,3314
228,Toyota,Corolla,14,202188,Híbrido,Manual,60,5.8,3,Excelente,Castilla y León,5,Blanco,Compacto,2765
229,Skoda,Fabia,1,10791,Diésel,Manual,109,6.6,1,Bueno,Navarra,5,Rojo,Berlina,9197
230,Dacia,Duster,12,181976,Gasolina,Automático,132,7.8,1,Excelente,Baleares,5,Gris,Familiar,2190
231,Toyota,Corolla,10,157076,Gasolina,Manual,87,6.3,4,Bueno,Madrid,5,Rojo,Berlina,4042
232,Hyundai,i30,16,234123,Gasolina,Manual,109,7.4,4,Bueno,Baleares,5,Plata,Monovolumen,3060
